Country,International Immigrants,GDP(bns),International Immigrants 000s,Continent
Senegal,274929,22.85275546,274.929,Africa
Serbia,823011,45.18479053,823.011,Europe
Seychelles,13050,1.3862624,13.05,Africa
Sierra Leone,53746,4.976754176,53.746,Africa
Singapore,2523648,330.0997857,2523.648,Asia
Slovakia,197161,94.76911923,197.161,Europe
Slovenia,277964,48.14405222,277.964,Europe
Solomon Islands,2520,1.467403264,2.52,Oceania
Somalia,58590,7.06912,58.59,Africa
South Africa,2860495,335.6401664,2860.495,Africa
Spain,6842202,1181.205135,6842.202,Europe
Sri Lanka,40254,88.83216384,40.254,Asia
Sudan,1379147,49.44988979,1379.147,Africa
Suriname,47801,4.417127424,47.801,South America
Sweden,2003908,533.6118395,2003.908,Europe
Switzerland,2491249,740.0262205,2491.249,Europe
Tajikistan,276031,11.43620403,276.031,Asia
Thailand,3632496,432.649175,3632.496,Asia
Togo,279936,5.187639296,279.936,Africa
Tonga,3742,0.489364576,3.742,Oceania
Trinidad and Tobago,78849,20.81375846,78.849,North America
Tunisia,60145,44.68150272,60.145,Africa
Turkey,6052652,1015.326638,6052.652,Asia
Turks and Caicos Islands,25748,0.802388544,25.748,North America
Tuvalu,239,0.04470888,0.239,Oceania
Uganda,1720313,40.76876595,1720.313,Africa
Ukraine,4997387,97.8663424,4997.387,Europe
United Arab Emirates,8716332,370.8661924,8716.332,Asia
Uruguay,108267,52.2609705,108.267,South America
Uzbekistan,1162007,107.9818568,1162.007,Asia
Vanuatu,3257,0.810535808,3.257,Oceania
Zambia,187955,23.41894554,187.955,Africa
Zimbabwe,416141,19.426048,416.141,Africa
